Name,DateTime,AnimalType,AgeuponOutcome,Breed,Color,neutered/spayed,adopted
Hambone,2/12/2014 18:22:00,Dog,1 year,Shetland Sheepdog Mix,Brown/White,1,0
Emily,10/13/2013 12:44:00,Cat,1 year,Domestic Shorthair Mix,Cream Tabby,1,0
Pearce,1/31/2015 12:28:00,Dog,2 years,Pit Bull Mix,Blue/White,1,1
,7/11/2014 19:09:00,Cat,3 weeks,Domestic Shorthair Mix,Blue Cream,0,0
,11/15/2013 12:52:00,Dog,2 years,Lhasa Apso/Miniature Poodle,Tan,1,0
Elsa,4/25/2014 13:04:00,Dog,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan,0,0
Jimmy,3/28/2015 13:11:00,Cat,3 weeks,Domestic Shorthair Mix,Blue Tabby,0,0
,4/30/2015 17:02:00,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Lucy,2/4/2014 17:17:00,Dog,5 months,American Pit Bull Terrier Mix,Red/White,1,1
,5/3/2014 7:48:00,Dog,1 year,Cairn Terrier,White,1,1
,12/5/2013 15:50:00,Cat,2 years,Domestic Shorthair Mix,Black,0,0
,11/4/2013 14:48:00,Dog,2 years,Miniature Schnauzer Mix,Silver,1,1
Rocket,2/3/2016 11:27:00,Dog,4 years,Pit Bull Mix,Brown,1,1
Scooter,6/8/2015 16:30:00,Dog,2 years,Yorkshire Terrier Mix,Black/Red,1,0
Preston,11/25/2015 15:00:00,Dog,1 year,Great Pyrenees Mix,White/Cream,1,0
Oliver,7/12/2014 12:10:00,Cat,3 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
,5/3/2014 16:15:00,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
,6/7/2014 12:54:00,Dog,2 weeks,Pit Bull Mix,Brown/White,0,0
Chrissy,5/17/2014 11:32:00,Cat,2 years,Angora Mix,White,0,0
Kuma,7/30/2014 17:34:00,Dog,1 year,Flat Coat Retriever Mix,Black,1,0
Anders,1/19/2014 15:03:00,Dog,2 months,Queensland Heeler Mix,Black/White,0,0
Munchkin,9/18/2015 15:19:00,Cat,1 year,Domestic Shorthair Mix,White,1,0
Jamaica,8/15/2015 14:22:00,Dog,2 years,Plott Hound/Boxer,Brown Brindle/White,1,1
Quattro,10/28/2013 16:32:00,Dog,10 months,German Shepherd Mix,Brown/White,1,1
Trigger,4/9/2014 17:44:00,Dog,2 months,German Shepherd Mix,Black/Brown,1,0
Olive,10/3/2015 15:44:00,Cat,1 month,Domestic Shorthair Mix,Orange Tabby,0,0
Nia,1/15/2016 17:31:00,Dog,6 months,American Staffordshire Terrier Mix,Chocolate/White,1,1
Chloe,3/25/2015 18:50:00,Dog,5 years,Chihuahua Shorthair Mix,White/Tan,1,1
Cymbale,11/21/2015 13:01:00,Cat,2 months,Domestic Shorthair Mix,Cream Tabby/White,1,1
Jax,7/30/2015 14:30:00,Cat,7 years,Russian Blue Mix,Blue,1,0
,1/1/2016 13:57:00,Cat,3 years,Domestic Shorthair Mix,Calico,1,0
Murphy,7/15/2015 15:25:00,Dog,4 months,Labrador Retriever Mix,Black/White,0,0
,7/3/2014 17:01:00,Cat,2 months,Domestic Shorthair Mix,Torbie,1,1
